Código;Status;Categoria;Tag;Data;Frase-chave de foco;Título;Título SEO;Link;Atualizado
107;Publicado;Análise fatorial;análise fatorial exploratória, dicas de materiais;02/09/2024;Glossário de Análise Fatorial Exploratória;Glossário de Análise Fatorial Exploratória;Glossário de Análise Fatorial Exploratória: baixe o ebook gratuito;https://www.blog.psicometriaonline.com.br/glossario-analise-fatorial-exploratoria/;ok
108;Publicado;Tutoriais;tutorial no SPSS, fidedignidade e concordância;1/7/2025;coeficiente de concordância de Kendall;Como calcular o coeficiente de concordância de Kendall no SPSS?;Coeficiente de concordância de Kendall: o que é e como calcular;https://www.blog.psicometriaonline.com.br/coeficiente-de-concordancia-de-kendall/;ok
109;Publicado;Análises bi e multivariadas;correlação;03/07/2024;covariância e correlação;Qual é a diferença entre covariância e correlação?;Covariância e correlação: entenda a diferença;https://www.blog.psicometriaonline.com.br/covariancia-e-correlacao/;ok
110;Publicado;Análise fatorial;análise fatorial confirmatória;5/14/2025;o que é análise fatorial confirmatória;O que é análise fatorial confirmatória?;O que é análise fatorial confirmatória?;https://www.blog.psicometriaonline.com.br/analise-fatorial-confirmatoria/;ok
111;Publicado;Análises bi e multivariadas;testes não paramétricos;12/4/2025;teste de Kruskal-Wallis;O que é e quando usar o teste de Kruskal-Wallis?;Teste de Kruskal-Wallis: o que é e quando usar?;https://www.blog.psicometriaonline.com.br/teste-de-kruskal-wallis/;ok
112;Publicado;Instrumentos de autorrelato;teoria da medida;09/10/2024;variáveis nominais e ordinais;Qual a diferença entre variáveis nominais e ordinais?;Variáveis nominais e ordinais: conheça as definições e diferenças;https://www.blog.psicometriaonline.com.br/qual-a-diferenca-entre-variaveis-nominais-e-ordinais/;ok
113;Publicado;Análise fatorial;análise fatorial confirmatória, análise fatorial exploratória;17/04/2025;cargas fatoriais;O que são cargas fatoriais?;O que são cargas fatoriais?;https://www.blog.psicometriaonline.com.br/cargas-fatoriais/;ok
114;Publicado;Análises bi e multivariadas;teste de hipótese;24/06/2024;erro Tipo II;O que é erro Tipo II?;Erro Tipo II: O que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-o-erro-do-tipo-ii/;ok
115;Publicado;Análise fatorial;análise fatorial confirmatória;6/9/2025;índices comparativos;Índices comparativos na análise fatorial confirmatória;Índices comparativos na análise fatorial confirmatória;https://www.blog.psicometriaonline.com.br/indices-comparativos-na-analise-fatorial-confirmatoria/;ok
116;Publicado;Fidedignidade e validade;fidedignidade e concordância;13/7/2025;coeficiente de correlação intraclasse;O que é coeficiente de correlação intraclasse?;Coeficiente de correlação intraclasse: conheça essa medida;https://www.blog.psicometriaonline.com.br/coeficiente-de-correlacao-intraclasse/;ok
117;Publicado;Análises bi e multivariadas;regressão, pressupostos estatísticos;6/16/2025;distância de Cook;O que é a distância de Cook?;Distância de Cook: o que é e para que serve?;https://www.blog.psicometriaonline.com.br/o-que-e-a-distancia-de-cook/;ok
118;Publicado;Análises bi e multivariadas;teste de hipótese;24/06/2024;erro Tipo I;O que é erro Tipo I?;Erro Tipo I: O que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-erro-do-tipo-i/;ok
119;Publicado;Análises bi e multivariadas;dados categóricos;24/07/2024;teste qui-quadrado de aderência;O que é teste qui-quadrado de aderência?;Teste qui-quadrado de aderência: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/qui-quadrado-teste-de-aderencia/;ok
120;Publicado;Análises bi e multivariadas;tamanho de efeito;02/12/2024;g de Hedges;O que é o g de Hedges (Hedges's g)?;g de Hedges: o que é, como calcular e como interpretar?;https://www.blog.psicometriaonline.com.br/tamanho-de-efeito-g-de-hedges-hedges-g/;ok
121;Publicado;Tutoriais;tutorial no jasp;22/07/2024;teste binomial;Como fazer o teste binomial no JASP?;Teste binomial: o que é e como realizar o teste binomial no JASP?;https://www.blog.psicometriaonline.com.br/como-executar-e-interpretar-o-teste-binomial/;ok
122;Publicado;Análises bi e multivariadas;teste de hipótese;1/7/2025;teste de hipóteses;Qual teste de hipóteses utilizar?;Teste de hipóteses: dicas de como escolher o mais adequado;https://www.blog.psicometriaonline.com.br/qual-teste-de-hipoteses-utilizar/;ok
123;Publicado;Análises bi e multivariadas;tamanho de efeito, dados categóricos;18/07/2024;coeficiente phi;O que é o coeficiente phi?;Coeficiente phi: o que é, como calcular e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-o-coeficiente-phi/;ok
124;Publicado;Instrumentos de autorrelato;teoria da medida;5/5/2025;escala Likert;Entenda o que é escala Likert;Escala Likert: o que você precisa saber sobre ela?;https://www.blog.psicometriaonline.com.br/entenda-o-que-e-escala-likert/;ok
125;Publicado;Análises bi e multivariadas;regressão;25/6/2025;métodos de entrada;Métodos de entrada da regressão linear múltipla;Métodos de entrada da regressão linear múltipla;https://www.blog.psicometriaonline.com.br/metodos-de-entrada-da-regressao-linear-multipla/;ok
126;Publicado;Escrita científica;ferramentas de escrita e revisão;21/11/2024;escrita de artigo acadêmico;Breve checklist para escrita de artigo acadêmico;Escrita de artigo acadêmico: como estruturar seu texto científico?;https://www.blog.psicometriaonline.com.br/breve-check-list-para-escrita-de-artigo-academico/;ok
127;Publicado;Instrumentos de autorrelato;construção e adaptação de instrumentos;24/12/2024;construção de itens;Construção de itens para instrumentos de autorrelato;Construção de itens para escalas de autorrelato: algumas dicas;https://www.blog.psicometriaonline.com.br/construcao-de-itens-para-instrumentos-de-autorrelato/;ok
128;Publicado;Análises bi e multivariadas;regressão;6/3/2025;poder preditivo da regressão linear;O que devo saber sobre o poder preditivo da regressão linear?;Poder preditivo da regressão linear: o que você precisa saber;https://www.blog.psicometriaonline.com.br/o-que-devo-saber-sobre-o-poder-preditivo-da-regressao-linear/;ok
129;Publicado;Fidedignidade e validade;fidedignidade e concordância;5/2/2025;variância média extraída;O que é e como calcular a variância média extraída?;Variância média extraída: o que é e como calcular?;https://www.blog.psicometriaonline.com.br/variancia-media-extraida/;ok
130;Publicado;Geral;manipulação do banco de dados;5/5/2025;dados faltantes;O que são dados faltantes?;Dados faltantes: o que são e como lidar com eles?;https://www.blog.psicometriaonline.com.br/o-que-sao-dados-faltantes/;ok
131;Publicado;Tutoriais;tutorial no R;4/29/2025;modelagem por equações estruturais;Modelagem por equações estruturais no R: conceitos e aplicações;Modelagem por equações estruturais no R: Conceitos e aplicações;https://www.blog.psicometriaonline.com.br/modelagem-por-equacoes-estruturais-no-r-conceitos-e-aplicacoes/;ok
132;Publicado;TRI;conceitos da TRI;6/6/2025;curva característica do item;Curva característica do item, curva de informação do item e curva de informação do teste: como interpretar as três curvas da TRI?;Curva característica do item: saiba como interpretá-la;https://www.blog.psicometriaonline.com.br/curva-caracteristica-do-item-curva-de-informacao-do-item-e-curva-de-informacao-do-teste/;ok
133;Publicado;Revisões da literatura;metanálise;19/11/2024;revisão metanalítica;Sete etapas para conduzir uma revisão metanalítica;Revisão metanalítica: conheça as principais etapas desse estudo;https://www.blog.psicometriaonline.com.br/sete-etapas-para-conduzir-uma-revisao-metanalitica/;ok
134;Publicado;Análises bi e multivariadas;pressupostos estatísticos;24/6/2025;multicolinearidade;Diagnóstico de multicolinearidade;Multicolinearidade na regressão linear;https://www.blog.psicometriaonline.com.br/diagnostico-de-multicolinearidade/;ok
135;Publicado;Tutoriais;correlação, tutorial no SPSS;23/07/2024;correlação parcial;O que é e como executar a correlação parcial no SPSS?;Correlação parcial: o que é, como fazer e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao-parcial/;ok
136;Publicado;Análise fatorial;modelagem por equações estruturais;4/30/2025;análise de caminho;Modelagem por equações estruturais e análise de caminho;Análise de caminho e modelagem por equações estruturais;https://www.blog.psicometriaonline.com.br/modelagem-por-equacoes-estruturais-sem-e-analise-de-caminho-path-analysis/;ok
137;Publicado;Modelos lineares generalizados;regressão;4/4/2025;regressão logística;O que é regressão logística?;Regressão logística: uma introdução amigável;https://www.blog.psicometriaonline.com.br/o-que-e-regressao-logistica/;ok
138;Publicado;Análises bi e multivariadas;teste de hipótese;6/2/2025;teste de hipótese;O que é teste de hipótese?;O que é teste de hipótese?;https://www.blog.psicometriaonline.com.br/teste-de-hipotese/;ok
139;Publicado;Análises bi e multivariadas;tamanho de efeito;27/11/2024;delta de Glass;O que é o delta de Glass (Glass’s delta)?;Delta de Glass: o que é, como calcular e como interpretar?;https://www.blog.psicometriaonline.com.br/tamanho-de-efeito-delta-glass-glass-delta/;ok
140;Publicado;Análises bi e multivariadas;pressupostos estatísticos;27/3/2025;suposições da regressão linear;Suposições da regressão linear;Suposições da regressão linear;https://www.blog.psicometriaonline.com.br/suposicoes-da-regressao-linear/;ok
141;Publicado;Análises bi e multivariadas;dados categóricos;25/07/2024;teste qui-quadrado de independência;O que é teste qui-quadrado de independência?;Teste qui-quadrado de independência: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/qui-quadrado-teste-de-independencia/;ok
142;Publicado;Fidedignidade e validade;fontes de validade;2/4/2025;validade baseada no processo de resposta;Validade baseada no processo de resposta;Validade baseada no processo de resposta;https://www.blog.psicometriaonline.com.br/validade-processo-resposta/;ok
143;Publicado;Análise fatorial;modelagem por equações estruturais;5/12/2025;outliers em modelos de equação estrutural;Os pacotes do R que você precisa conhecer para detectar outliers em modelos de equação estrutural;Outliers em modelos de equação estrutural: quais pacotes usar?;https://www.blog.psicometriaonline.com.br/os-pacotes-do-r-que-voce-precisa-conhecer-para-detectar-outliers-em-modelos-de-equacao-estrutural/;ok
144;Publicado;Análise fatorial;análise fatorial exploratória;5/9/2025;retenção de fatores;Quais são os principais métodos de retenção de fatores na análise fatorial exploratória?;Retenção fatorial: conheça os principais métodos;https://www.blog.psicometriaonline.com.br/principais-metodos-de-retencao-de-fatores/;ok
145;Publicado;Fidedignidade e validade;fontes de validade;19/3/2025;validade convergente;O que é validade convergente?;Validade convergente: entenda esse conceito;https://www.blog.psicometriaonline.com.br/validade-convergente/;ok
146;Publicado;Análises bi e multivariadas;teste t e anova;27/11/2024;teste t para amostras dependentes;Teste t para amostras dependentes;Teste t para amostras dependentes: entenda o teste estatístico;https://www.blog.psicometriaonline.com.br/teste-t-para-amostras-dependentes/;ok
147;Publicado;Instrumentos de autorrelato;acurácia diagnóstica;8/1/2025;curva ROC;Tutorial: Curva ROC – Diagnóstico clínico, sensibilidade e especificidade;O que é curva ROC?;https://www.blog.psicometriaonline.com.br/tutorial-curva-roc-diagnostico-clinico-sensibilidade-e-especificidade/;ok
148;Publicado;Análises bi e multivariadas;mediação e moderação;9/1/2025;análise de moderação;O que é análise de moderação?;Análise de moderação: uma introdução;https://www.blog.psicometriaonline.com.br/o-que-e-analise-de-moderacao/;ok
149;Publicado;Análises bi e multivariadas;teste t e anova;21/11/2024;tipos de teste t;Conheça os tipos de teste t;Tipos de teste t: quando usá-los e quais suas diferenças?;https://www.blog.psicometriaonline.com.br/conheca-os-tipos-de-teste-t/;ok
150;Publicado;Análises bi e multivariadas;teste t e anova;26/2/2025;ANCOVA;O que é análise de covariância (ANCOVA)?;Análise de covariância: o que é e quando usar?;https://www.blog.psicometriaonline.com.br/o-que-e-ancova-analise-de-covariancia/;ok
151;Publicado;Análises bi e multivariadas;teste t e anova;14/4/2025;médias marginais;O que são médias marginais?;Médias marginais: entenda o que são e para que servem!;https://www.blog.psicometriaonline.com.br/o-que-sao-medias-marginais/;ok
152;Publicado;Análise fatorial;análise fatorial confirmatória, modelagem por equações estruturais;6/2/2025;invariância de medição;Por que a invariância de medição é importante?;Invariância de medição: o que é e por que ela é tão importante?;https://www.blog.psicometriaonline.com.br/por-que-a-invariancia-de-medicao-e-importante/;ok
153;Publicado;Instrumentos de autorrelato;construção e adaptação de instrumentos;7/2/2025;adaptação transcultural;Adaptação transcultural de medidas de autorrelato;Adaptação transcultural de instrumentos: as principais etapas;https://www.blog.psicometriaonline.com.br/adaptacao-transcultural-de-medidas-de-autorrelato/;ok
154;Publicado;Instrumentos de autorrelato;vieses de resposta;6/9/2025;aquiescência;Compreendendo a aquiescência;O que é aquiescência?;https://www.blog.psicometriaonline.com.br/compreendendo-a-aquiescencia/;ok
155;Publicado;Análises bi e multivariadas;teste de hipótese;21/1/2025;family wise error rate;Familywise error rate (FWER): o que é e como controlar?;Familywise error rate (FWER): conheça maneiras de controlá-lo;https://www.blog.psicometriaonline.com.br/family-wise-error-rate-fwer-o-que-e-e-como-controlar/;ok
156;Publicado;Análises bi e multivariadas;correlação;18/07/2024;o que é covariância;O que é covariância?;O que é covariância? Definição, significado gráfico e exemplos;https://www.blog.psicometriaonline.com.br/o-que-e-covariancia/;ok
157;Publicado;Análises bi e multivariadas;correlação;31/12/2024;correlação tetracórica;O que é correlação tetracórica?;O que é correlação tetracórica?;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao-tetracorica/;ok
158;Publicado;Análises bi e multivariadas;teste t e anova;26./11/2024;teste t para amostras independentes;Teste t para amostras independentes;Teste t para amostras independentes: entenda o teste estatístico;https://www.blog.psicometriaonline.com.br/teste-t-para-amostras-independentes/;ok
159;Publicado;Tutoriais;tutorial no SPSS, pressupostos estatísticos;03/12/2024;avaliando a normalidade dos dados;Como avaliar a normalidade dos dados no SPSS?;Normalidade dos dados no SPSS: Um tutorial de como avaliar;https://www.blog.psicometriaonline.com.br/avaliando-a-normalidade-dos-dados-no-spss/;ok
160;Publicado;Modelos lineares generalizados;regressão;6/3/2025;para que serve a regressão de Poisson;Para que serve a regressão de Poisson?;Para que serve a regressão de Poisson?;https://www.blog.psicometriaonline.com.br/para-que-serve-a-regressao-de-poisson/;ok
161;Publicado;Análise fatorial;análise fatorial exploratória;03/12/2024;termos importantes da análise fatorial exploratória;Termos importantes da análise fatorial exploratória;Termos importantes da análise fatorial exploratória para conhecer;https://www.blog.psicometriaonline.com.br/glossario-da-analise-fatorial-exploratoria/;ok
162;Publicado;Análise de redes;análise de redes, análise fatorial exploratória;6/13/2025;exploratory graph analysis;O que é exploratory graph analysis?;Exploratory graph analysis: o que é e para que serve?;https://www.blog.psicometriaonline.com.br/o-que-e-exploratory-graph-analysis/;ok
163;Publicado;Tutoriais;tutorial no R, correlação;05/07/2024;análise de correlação no R;Como fazer análise de correlação no R?;Como calcular correlação no R: um tutorial passo a passo;https://www.blog.psicometriaonline.com.br/analise-de-correlacao-no-r/;ok
164;Publicado;Análises bi e multivariadas;regressão;20/7/2025;métodos forward e backward;Os métodos forward e backward de seleção de variáveis na regressão linear múltipla;Os métodos forward e backward na regressão linear múltipla;https://www.blog.psicometriaonline.com.br/os-metodos-de-selecao-de-variaveis-forward-e-backward-na-regressao-linear-multipla/;ok
165;Publicado;Análises bi e multivariadas;correlação;18/07/2024;correlação não implica causalidade;Correlação não implica causalidade;Por que correlação não implica causalidade?;https://www.blog.psicometriaonline.com.br/correlacao-nao-implica-causalidade/;ok
166;Publicado;Análises bi e multivariadas;teste t e anova;27/2/2025;ANOVA fatorial;O que é ANOVA fatorial?;ANOVA fatorial: o que é e quais são seus tipos?;https://www.blog.psicometriaonline.com.br/anova-fatorial/;ok
167;Publicado;Análise de redes;análise de redes;5/22/2025;análise de rede;Análise de rede aplicada a dados psicológicos;Análise de rede: o que é e como aplicá-la a dados psicológicos?;https://www.blog.psicometriaonline.com.br/analise-de-rede-aplicada-a-dados-psicologicos/;ok
168;Publicado;Análise fatorial;análise fatorial exploratória;26/12/2024;executar análise paralela;Como executar análise paralela?;Como executar análise paralela?;https://www.blog.psicometriaonline.com.br/como-executar-analise-paralela/;ok
169;Publicado;Análise fatorial;análise fatorial exploratória;25/12/2024;análise paralela;O que é análise paralela?;Análise paralela: conheça sua utilidade na análise fatorial;https://www.blog.psicometriaonline.com.br/o-que-e-analise-paralela/;ok
170;Publicado;Análises bi e multivariadas;teste de hipótese;17/09/2024;erro Tipo I e erro Tipo II;O que é erro Tipo I e erro Tipo II?;Erro Tipo I e erro Tipo II: entenda as diferenças;https://www.blog.psicometriaonline.com.br/o-que-e-erro-do-tipo-i-e-erro-do-tipo-ii/;ok
171;Publicado;Geral;manipulação do banco de dados;7/11/2024;livro de códigos;Preparando o livro de códigos para a análise de dados;Livro de códigos: Como prepará-lo antes das análises de dados?;https://www.blog.psicometriaonline.com.br/preparando-o-livro-de-codigos/;ok
172;Publicado;Softwares;análise de dados;05/07/2024;diferença entre R e RStudio;Qual é a diferença entre R e RStudio?;R e RStudio: entenda a diferença;https://www.blog.psicometriaonline.com.br/qual-e-a-diferenca-entre-r-e-rstudio/;ok
173;Publicado;Softwares;gerenciador de referências;03/09/2024;EndNote;Gerenciador de referências: EndNote;EndNote: o que é e para que serve?;https://www.blog.psicometriaonline.com.br/gerenciador-de-referencias-endnote/;ok
174;Publicado;Geral;manipulação do banco de dados;27/3/2025;big data e psicologia;Big data e psicologia;Big data e psicologia;https://www.blog.psicometriaonline.com.br/big-data-e-psicologia/;ok
175;Publicado;Tutoriais;tutorial no JASP;6/16/2025;regressão logística no JASP;Como fazer uma regressão logística no JASP?;Regressão logística no JASP: Um tutorial;https://www.blog.psicometriaonline.com.br/como-fazer-uma-regressao-logistica-no-jasp/;ok
176;Publicado;Fidedignidade e validade;fontes de validade;26/3/2025;validade consequencial;Validade baseada nas consequências da testagem;O que é validade consequencial?;https://www.blog.psicometriaonline.com.br/validade-baseada-nas-consequencias-da-testagem/;ok
177;Publicado;Softwares;gerenciador de referências;08/10/2024;mendeley;Gerenciador de referências: Mendeley;Mendeley: o que é e para que serve?;https://www.blog.psicometriaonline.com.br/gerenciador-de-referencias-mendeley/;ok
178;Publicado;Análise fatorial;análise fatorial confirmatória;6/9/2025;parâmetros livres e fixos;O que são parâmetros livres e fixos em uma análise fatorial confirmatória?;Parâmetros livres e fixos na AFC: entenda o que são;https://www.blog.psicometriaonline.com.br/o-que-sao-parametros-livres-e-fixos-em-uma-afc/;ok
179;Publicado;Análises bi e multivariadas;mediação e moderação;16/1/2025;variáveis moderadoras;Análise de moderação: como identificar potenciais variáveis moderadoras?;Variáveis moderadoras: como identificar potenciais candidatas?;https://www.blog.psicometriaonline.com.br/analise-de-moderacao-como-identificar-potenciais-variaveis-moderadoras/;ok
180;Publicado;Análises bi e multivariadas;regressão;16/10/2025;variáveis dummy;O que são variáveis dummy?;Variáveis dummy: o que são, para que servem e como criá-las?;https://blog.psicometriaonline.com.br/o-que-sao-variaveis-dummy;ok
181;Publicado;Softwares;análise de dados;9/1/2025;macro PROCESS;O que é e como instalar o PROCESS? A macro do SPSS para análises de mediação e de moderação;PROCESS para SPSS: para que serve e como instalar?;https://www.blog.psicometriaonline.com.br/o-que-e-e-como-instalar-o-process-macro-do-spss-para-analise-de-mediacao-e-moderacao/;ok
182;Publicado;Análises bi e multivariadas;tamanho de efeito, testes não paramétricos;05/12/2024;tamanho de efeito para o teste de Wilcoxon;Cálculo do tamanho de efeito para o teste de Wilcoxon;Tamanho de efeito para o teste de Wilcoxon: como calcular?;https://www.blog.psicometriaonline.com.br/calculo-do-tamanho-de-efeito-para-o-teste-de-wilcoxon/;ok
183;Publicado;Análises bi e multivariadas;estatística descritiva;17/07/2024;variância e desvio-padrão;Qual é a diferença entre variância e desvio-padrão?;Variância e desvio-padrão: entenda a diferença;https://www.blog.psicometriaonline.com.br/qual-e-a-diferenca-entre-variancia-e-desvio-padrao/;ok
184;Publicado;TRI;conceitos da TRI;19/12/2024;conceitos da teoria de resposta ao item;Conceitos da Teoria de Resposta ao Item (TRI) que você precisa conhecer;Conceitos da Teoria de Resposta ao Item: conheça alguns deles;https://www.blog.psicometriaonline.com.br/conceitos-da-teoria-de-resposta-ao-item-que-voce-precisa-conhecer/;ok
185;Publicado;Análise fatorial;mediação e moderação, modelagem por equações estruturais;05/01/2025;path analysis;O que é path analysis?;Path analysis: conheça essa técnica de análise de dados;https://www.blog.psicometriaonline.com.br/o-que-e-path-analysis/;ok
186;Publicado;Tutoriais;análise fatorial confirmatória, tutorial no JASP;12/7/2025;análise de invariância de medição (MIMIC) no JASP;Como realizar análise de invariância de medição (MIMIC) no JASP?;Invariância de medição (MIMIC) no JASP: um tutorial;https://www.blog.psicometriaonline.com.br/tutorial-invariancia-de-medicao-mimic-no-jasp/;ok
187;Publicado;Análise fatorial;análise fatorial exploratória;5/22/2025;resultados reportar;Quais resultados reportar ao realizar uma análise fatorial exploratória?;Quais resultados reportar em uma AFE?;https://www.blog.psicometriaonline.com.br/quais-resultados-reportar-ao-realizar-uma-analise-fatorial-exploratoria/;ok
188;Publicado;Metodologia científica;planejamento de pesquisa;20/11/2024;planejamento do projeto de pesquisa;Planejamento do projeto de pesquisa: dicas essenciais para um estudo bem-sucedido;Planejamento do projeto de pesquisa: algumas dicas importantes;https://www.blog.psicometriaonline.com.br/dicas-para-o-planejamento-do-projeto-de-pesquisa/;ok
189;Publicado;Análise de redes;análise de redes;23/6/2025;bridge symptoms;Bridge symptoms: como investigar a interação entre psicopatologias por meio da análise de rede?;Bridge symptoms, psicopatologias e análise de rede;https://www.blog.psicometriaonline.com.br/bridge-symptoms-como-investigar-a-interacao-entre-psicopatologias-por-meio-da-analise-de-rede/;ok
190;Publicado;Tutoriais;tutoriais;20/10/2025;variáveis dummy no spss;Como criar variáveis dummy no SPSS?;Variáveis dummy no SPSS: um tutorial de como criá-las;https://blog.psicometriaonline.com.br/como-criar-variaveis-dummy-no-spss;ok
191;Publicado;Softwares;análise de dados;04/07/2024;programar em R;Por que aprender a programar em R?;Programar em R: por que e onde começar?;https://www.blog.psicometriaonline.com.br/por-que-aprender-a-programar-em-r/;ok
192;Publicado;Tutoriais;tutorial no R, manipulação do banco de dados;08/07/2024;juntar bancos de dados no R;Como juntar bancos de dados com o dplyr?;Juntar bancos de dados no R: um tutorial passo a passo;https://www.blog.psicometriaonline.com.br/como-juntar-bancos-de-dados-no-r/;ok
193;Publicado;Tutoriais;tutorial no R, manipulação do banco de dados;08/07/2024;reestruturar banco de dados no R;Como reestruturar banco de dados no R?;Como reestruturar banco de dados no R: um tutorial passo a passo;https://www.blog.psicometriaonline.com.br/como-reestruturar-banco-de-dados-no-r/;ok
194;Publicado;Análise fatorial;análise fatorial exploratória;08/07/2024;análise fatorial exploratória no R;Quais pacotes usar na análise fatorial exploratória no R?;Análise fatorial exploratória no R: dicas de pacotes;https://www.blog.psicometriaonline.com.br/pacotes-do-r-para-analise-fatorial-exploratoria/;ok
195;Publicado;Tutoriais;tutorial no R;18/07/2024;curso R para Iniciantes;Curso R para Iniciantes;Título SEO: Curso R para Iniciantes: Aprenda gratuitamente a programar em R;https://www.blog.psicometriaonline.com.br/curso-r-para-iniciantes;ok
196;Publicado;Tutoriais;tutorial no R, gráficos;08/07/2024;gráficos no R;Como criar gráficos no R com o ggplot2?;Gráficos no R: um tutorial com o pacote ggplot2;https://www.blog.psicometriaonline.com.br/como-criar-graficos-no-r-com-o-ggplot2/;ok
197;Publicado;Análises bi e multivariadas;tamanho de efeito, estudos epidemiológicos;24/07/2024;razão de chances;Razão de chances (odds ratio): o que é, como calcular e como interpretar?;Razão de chances (odds ratio): aprenda a interpretar essa medida;https://www.blog.psicometriaonline.com.br/o-que-e-razao-de-chances-odds-ratio;ok
198;Publicado;Revisões da literatura;metanálise;31/07/2024;metanálise;O que é metanálise?;O que é metanálise? O que você precisa saber sobre o tema;https://www.blog.psicometriaonline.com.br/o-que-e-metanalise;ok
199;Publicado;Revisões da literatura;metanálise, gráficos;06/08/2024;forest plot;O que é e como interpretar um forest plot?;Forest plot: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-e-como-interpretar-um-forest-plot;ok
200;Publicado;Metodologia científica;metaciência;14/08/2024;HARKing;HARKing: formulando hipóteses após conhecer os resultados;O que é HARKing?;https://www.blog.psicometriaonline.com.br/o-que-e-harking;ok
201;Publicado;Escrita científica;bases de dados;15/08/2024;pesquisar artigos no SciELO;Como pesquisar artigos no SciELO?;Como pesquisar artigos no SciELO? Algumas dicas;https://www.blog.psicometriaonline.com.br/como-pesquisar-artigos-no-scielo/;ok
202;Publicado;Escrita científica;bases de dados;17/08/2024;Google Acadêmico;Como usar o Google Acadêmico?;Google Acadêmico: dicas de como usar a ferramenta;https://www.blog.psicometriaonline.com.br/como-usar-o-google-academico;ok
203;Publicado;Escrita científica;dicas de escrita, vida acadêmica;18/08/2024;artigo científico;O que é um artigo científico?;Artigo científico: o que é, características e estrutura;https://www.blog.psicometriaonline.com.br/o-que-e-um-artigo-cientifico/;ok
204;Publicado;Revisões da literatura;bases de dados, vida acadêmica;19/08/2024;Periódicos CAPES;O que é o Portal de Periódicos CAPES?;Periódicos CAPES: o que é e como usar?;https://www.blog.psicometriaonline.com.br/o-que-e-o-portal-de-periodicos-capes;ok
205;Publicado;Escrita científica;vida acadêmica;20/08/2024;Qualis CAPES;O que é o Qualis CAPES?;Qualis CAPES: o que é, para que serve e como consultar?;https://www.blog.psicometriaonline.com.br/o-que-e-o-qualis-capes;ok
206;Publicado;Escrita científica;dicas de escrita, vida acadêmica;22/08/2024;revisão por pares;O que é e como funciona a revisão por pares (peer review)?;Revisão por pares (peer review): o que é e como funciona?;https://www.blog.psicometriaonline.com.br/o-que-e-e-como-funciona-a-revisao-por-pares-peer-review/;ok
207;Publicado;Escrita científica;dicas de escrita, vida acadêmica;27/08/2024;escrita científica;Dicas de como melhorar a sua escrita científica;Escrita científica: 10 dicas de como melhorá-la;https://www.blog.psicometriaonline.com.br/dicas-de-como-melhorar-a-sua-escrita-cientifica/;ok
208;Publicado;Escrita científica;vida acadêmica;28/08/2024;bolsas de mestrado e de doutorado;Bolsas de mestrado e de doutorado: como conseguir?;Bolsas de mestrado e de doutorado: entenda como funciona;https://www.blog.psicometriaonline.com.br/bolsas-de-mestrado-e-de-doutorado-como-conseguir/;ok
209;Publicado;Tutoriais;tutorial no JASP, pressupostos estatísticos;04/09/2024;teste de Shapiro-Wilk no JASP;Como realizar o teste de Shapiro-Wilk no JASP?;Como fazer o teste de Shapiro-Wilk no JASP? Um tutorial;https://www.blog.psicometriaonline.com.br/como-realizar-o-teste-de-shapiro-wilk-no-jasp;ok
210;Publicado;Escrita científica;dicas de escrita;11/09/2024;ordem de autoria do artigo científico;Como definir a ordem de autoria do artigo científico?;Ordem de autoria do artigo científico: normas de como definir;https://www.blog.psicometriaonline.com.br/como-definir-a-ordem-de-autoria-do-artigo-cientifico;ok
211;Publicado;Revisões da literatura;dicas de escrita, ferramentas de escrita e revisão;18/09/2024;declaração PRISMA;Como escrever uma revisão sistemática? A declaração PRISMA;A declaração PRISMA como orientação de redação de revisões;https://www.blog.psicometriaonline.com.br/como-escrever-uma-revisao-sistematica-a-declaracao-prisma;ok
212;Publicado;Metodologia científica;validade interna e externa, desenhos experimentais;09/10/2024;validade interna;O que é validade interna?;Validade interna: o que é e quais são suas principais ameaças?;https://www.blog.psicometriaonline.com.br/o-que-e-validade-interna;ok
213;Publicado;Tutoriais;tutorial no SPSS, manipulação do banco de dados;25/09/2024;calcular o escore z;Como calcular o escore z no SPSS?;Como calcular o escore z no SPSS? Um tutorial;https://www.blog.psicometriaonline.com.br/como-calcular-o-escore-z-no-SPSS;ok
214;Publicado;Tutoriais;tutorial no SPSS, manipulação do banco de dados;02/10/2024;centralizar os dados;Como centralizar os dados no SPSS?;Centralizar os dados no SPSS: um tutorial;https://www.blog.psicometriaonline.com.br/como-centralizar-os-dados-no-spss;ok
215;Publicado;Metodologia científica;validade interna e externa, desenhos experimentais;16/10/2024;validade externa;O que é validade externa?;Validade externa: o que é e quais são suas principais ameaças?;https://www.blog.psicometriaonline.com.br/o-que-e-validade-externa;ok
